ICAO,name,CMX,bpt_file,lw_rule,num_built,active,year_introduced,year_last_produced,year_retired,manufacturer,country,length,wingspan,wingspan_swept_folded,lw_rule2,engine_type,engine_position,num_engines,description,wing_position,wing_shape,wingtip_tanks,winglets,canards,amphibious,awacs,twin_boom,tail_position,num_tail_fins,Notes,bpt_file2
BE9L,"90 King Air, T-44 Pegasus",X,BE9L_3D.jpg,AC0,2717,True,1964,,,BEECH,USA,10.8,15.3,,,prop,['wings'],2,L2T,low,straight,False,False,False,False,False,False,fuselage,1,,
BER2,Be-200 Altair,C,BER2_3D.jpg,AC7,19,True,,,,BERIEV,RUSSIA,32,32.8,,,jet,['hips'],2,A2J,high,swept,False,False,False,False,False,False,T-tail,1,,
BER4,A-40 Albatross,M,,,1,True,,,,BERIEV,RUSSIA,43.84,41.62,,,jet,['hips'],2,A2J,high,swept,True,False,False,False,False,False,T-tail,1,,
BL8,Scout 8GCBC,C,BL8.jpg,AC0,500,True,1974,2008,,AMERICAN CHAMPION,USA,7.01,11.06,,,prop,['nose'],1,L1P,high,straight,False,False,False,False,False,False,fuselage,1,,
BLCF,747 LCF,C,BLCF.jpg,AC2,4,True,2007,,,BOEING,USA,71.68,64.4,,,jet,['wings'],4,L4J,low,swept,False,True,False,False,False,False,fuselage,1,,
BLEN,Blenheim,M,blmk4.png,AC2,4422,True,1937,1944,,BRISTOL,UK,12.98,17.17,,,prop,['wings'],2,L2P,low,straight,False,False,False,False,False,False,fuselage,1,,
BN2F,BN-2 Islander floatplane,C,britten_norman_bn_2_islander.jpg,AC0,60,True,1965,,,BRITTEN-NORMAN,UK,10.86,15.1,,,prop,['wings'],2,L2P,high,straight,False,False,False,True,False,False,fuselage,1,,
BN2P,BN-2B Islander,C,Britten-Norman BN-2A.jpg,AC0,640,True,1965,,,BRITTEN-NORMAN,UK,10.86,16.15,,,prop,['wings'],2,L2P,high,straight,False,False,False,False,False,False,fuselage,1,,
BN2T,BN-2T Turbine Islander,C,BN2P_3D.jpg,AC0,640,True,1981,,,BRITTEN-NORMAN,UK,10.86,14.94,,,prop,['wings'],2,L2P,high,straight,False,False,False,False,False,False,fuselage,1,,
BQM34A,BQM-34A Firebee,M,PMAL7035_2.jpg,AC0,7000,True,1952,2002,,RYAN,USA,6.68,3.93,,,jet,['fuselage'],1,L1J,mid,swept,False,False,False,False,False,False,fuselage,1,,
BRIT,Britannia 175,C,britannia.png,AC0,85,True,1957,1960,,BRISTOL,UK,37.87,43.36,,,prop,['wings'],4,L4T,low,straight,False,False,False,False,False,False,fuselage,1,,
BROU,MH.1521 Broussard,M,max_holste_mh_1521_broussard-47076.jpg,AC0,396,True,1954,,1993,AVIONS MAX HOLSTE,FRANCE,8.65,13.75,,,prop,['nose'],1,L1P,high,straight,False,False,False,False,False,False,fuselage,2,,
BT36,B36TC Bonanza,C,,,424,True,,,,BEECH,USA,8.38,11.53,,,prop,['nose'],1,L1P,low,straight,True,False,False,False,False,False,fuselage,1,needs blueprint,
BU31,BU-131 Jungmann,X,bucker-bu-131-jungmann.jpg,AC0,5000,True,1935,1945,1968,BUCKER,GERMANY,6.62,7.4,,,prop,['nose'],1,L1P,high,swept,False,False,False,False,False,False,fuselage,1,,
BU33,BU-133 Jungmeister,X,BU33_3D.jpg,AC0,250,True,,,,BUCKER,GERMANY,6,6.6,,,prop,['nose'],1,L1P,high,swept,False,False,False,False,False,False,fuselage,1,,
BUC,Buccaneer S.2,M,BUC.jpeg,AC0,211,True,1962,,1994,HAWKER SIDDELEY,UK,19.33,13.41,6.07,AC8,jet,['fuselage'],2,L2J,mid,swept,False,False,False,False,False,False,T-tail,1,,
BZK5,BZK-005,M,BZK5.jpg,AC0,105,True,2018,,,HARBIN,CHINA,9,19,,,prop,['fuselage'],1,L1P,mid,swept,False,False,False,False,False,True,fuselage,2,,
C1,C-1,M,kawasaki_c_1.jpg,AC7,31,True,1974,,,KAWASAKI,JAPAN,29,30.6,,,jet,['wings'],2,L2J,high,swept,False,False,False,False,False,False,T-tail,1,,
C101,C-101 Aviojet,M,casa-c-101-aviojet.png,AC2,166,True,1980,,,CASA,SPAIN,12.25,10.6,,,jet,['fuselage'],1,L1J,low,straight,False,False,False,False,False,False,fuselage,1,,
C119,C-119 Flying Boxcar,M,C119.png,AC0,1183,True,1949,1955,1995,FAIRCHILD,USA,26.37,33.3,,,prop,['wings'],2,L2P,high,straight,False,False,False,False,False,True,fuselage,2,,
C123,C-123 Provider,M,C123.png,AC0,307,True,1956,1970,1995,FAIRCHILD,USA,23.24,33.53,,,prop,['wings'],2,L2P,high,straight,False,False,False,False,False,False,fuselage,1,,
C124,C-124 Globemaster II,M,C-124.png,AC0,448,True,1950,1955,1974,DOUGLAS,USA,39.75,53.07,,,prop,['wings'],4,L4P,low,straight,True,False,False,False,False,False,fuselage,1,,
C125,YC-125 Raider,M,C-125.png,AC0,13,True,1949,1950,1955,NORTHROP,USA,20.45,26.37,,,prop,"['nose', 'wings']",3,L3P,high,straight,False,False,False,False,False,False,cruciform,1,,
C125C,C-125C Sea Raider,M,C-125C.jpg,AC0,10,True,1949,1950,1955,NORTHROP,USA,20.45,26.37,,,prop,"['nose', 'wings']",3,L3P,high,straight,False,False,False,True,False,False,cruciform,1,,
C130,C-130 Hercules,M,c-130h.jpg,AC0,2500,True,1954,,,LOCKHEED,USA,29.79,40.41,,,prop,['wings'],4,L4T,high,straight,False,False,False,False,False,False,fuselage,1,,
C133,C-133 Cargomaster,M,douglas_c133.jpg,AC0,50,True,1956,1961,1971,DOUGLAS,USA,48,54.75,,,prop,['wings'],4,L4T,high,straight,False,False,False,False,False,False,fuselage,1,,
C135,C-135 Stratolifter,M,C135_3D.jpg,AC7,60,True,1960,1963,,BOEING,USA,41.5,39.9,,,jet,['wings'],4,L4J,low,swept,False,False,False,False,False,False,fuselage,1,,
C13J,C-130J Super Hercules,M,C130_3D.jpg,AC0,500,True,1996,,,LOCKHEED,USA,34.37,40.41,,,prop,['wings'],4,L4T,high,straight,False,False,False,False,False,False,fuselage,1,,
C140,"120, 140",C,cessna140.png,AC0,7664,True,1946,1951,,CESSNA,USA,6.55,10.16,,,prop,['nose'],1,L1P,high,straight,False,False,False,False,False,False,fuselage,1,,
C141A,C-141A Starlifter,M,Lockheed-C-141.png,AC0,14,True,1965,1968,,LOCKHEED,USA,44.2,48.8,,,jet,['wings'],4,L4J,high,swept,False,False,False,False,False,False,T-tail,1,,
C141B,C-141B Starlifter,M,lockheed_c_141_starlifter.jpg,AC0,271,True,1965,1982,,LOCKHEED,USA,51.29,48.8,,,jet,['wings'],4,L4J,high,swept,False,False,False,False,False,False,T-tail,1,,
C15,YC-15,M,YC-15_s142w.jpeg,AC0,2,True,1975,,,MCDONNELL DOUGLAS,USA,37.9,40.4,,,jet,['wings'],4,L4J,high,straight,False,False,False,False,False,False,T-tail,1,,
C150,150 Commuter,C,Cessna_150.png,AC2,23839,True,1958,1977,,CESSNA,USA,6.6,10.2,,,prop,['nose'],1,L1P,high,straight,False,False,False,False,False,False,fuselage,1,,
C152,152 Aerobat,C,cessna_152.png,AC2,7584,True,1977,1985,,CESSNA,USA,7.3,10.2,,,prop,['nose'],1,L1P,high,straight,False,False,False,False,False,False,fuselage,1,,
C160,C-160,M,C160_3D.jpg,AC0,214,True,1967,1985,2022,TRANSALL,FRANCE,32.4,40,,,prop,['wings'],2,L2T,high,straight,False,False,False,False,False,False,fuselage,1,,
C162,162 SkyCatcher,C,Cessna_162_Skycatcher_janes11.png,AC2,275,True,2009,2013,,CESSNA,USA,6.81,9.14,,,prop,['nose'],1,L1P,high,straight,False,False,False,False,False,False,fuselage,1,,
C17,C-17 Globemaster 3,M,C17_3D.jpg,AC2,279,True,1995,2015,,BOEING,USA,53,52.2,,,jet,['wings'],4,L4J,high,swept,False,True,False,False,False,False,T-tail,1,,
C172,172 Skyhawk,C,C172.jpg,AC2,44000,True,1956,,,CESSNA,USA,8.28,11,,,prop,['nose'],1,L1P,high,straight,False,False,False,False,False,False,fuselage,1,,
C177,177 Cardinal,C,C177.png,AC2,4295,True,1968,1978,,CESSNA,USA,8.31,10.82,,,prop,['nose'],1,L1P,high,straight,False,False,False,False,False,False,fuselage,1,Need Top only blueprint,
C180,180 Skywagon,C,cessna-180-ssp.jpg,AC2,6193,True,1953,1981,,CESSNA,USA,7.85,10.92,,,prop,['nose'],1,L1P,high,straight,False,False,False,False,False,False,fuselage,1,,
C182,182 Skylane,C,Cessna_182T_Skylane_janes11.png,AC2,23237,True,1956,,,CESSNA,USA,8.6,11,,,prop,['nose'],1,L1P,high,straight,False,False,False,False,False,False,fuselage,1,,
C185,185 Skywagon,C,cessna185.png,AC2,3300,True,1961,1985,,CESSNA,USA,7.85,10.92,,,prop,['nose'],1,L1P,high,straight,False,False,False,False,False,False,fuselage,1,,
C185F,185 Skywagon floatplane,C,C185_3D.jpg,AC7,1100,True,1961,1985,,CESSNA,USA,8.23,10.92,,,prop,['nose'],1,A1P,high,straight,False,False,False,True,False,False,fuselage,1,,
C195,195 Businessliner,C,25362-mid.jpg,AC0,1000,True,1947,1954,,CESSNA,USA,8.33,11.02,,,prop,['nose'],1,L1P,high,straight,False,False,False,False,False,False,fuselage,1,,
C195F,195 Businessliner floatplane,C,21959-mid.jpg,AC0,180,True,1947,1954,,CESSNA,USA,8.33,11.02,,,prop,['nose'],1,A1P,high,straight,False,False,False,True,False,False,fuselage,1,,
C2,C-2 Greyhound,M,Grumman_C-2_Greyhound.png,AC0,56,True,1966,1989,,GRUMMAN,USA,17.22,24.56,8.94,AC8,prop,['wings'],2,L2T,high,straight,False,False,False,False,False,False,fuselage,4,,
C207,"205, 206 Super Skywagon, 207 Stationair",C,C206.jpg,AC2,8509,True,1962,1985,,CESSNA,USA,8.61,10.97,,,prop,['nose'],1,L1P,high,straight,False,False,False,False,False,False,fuselage,1,,
C208,208 Caravan,C,C208_3D.jpg,AC2,1000,True,1984,,,CESSNA,USA,11.46,15.88,,,prop,['nose'],1,L1T,high,straight,False,False,False,False,False,False,fuselage,1,,
C208A,208 Caravan Amphibian,C,C208A.jpg,AC2,1000,True,1984,,,CESSNA,USA,11.86,15.88,,,prop,['nose'],1,S1P,high,straight,False,False,False,True,False,False,fuselage,1,,
C208B,208 Grand Caravan,C,cessna-grand-caravan.jpg,AC2,1000,True,1984,,,CESSNA,USA,12.66,15.88,,,prop,['nose'],1,L1T,high,straight,False,False,False,False,False,False,fuselage,1,,
C208C,208 Grand Caravan Amphibian,C,22923-mid.jpg,AC0,1000,True,1984,,,CESSNA,USA,12.66,15.88,,,prop,['nose'],1,S1P,high,straight,False,False,False,True,False,False,fuselage,1,,
C210,210 Centurion,C,Cessna_210H_Centurion2.png,AC2,9240,True,1957,1986,,CESSNA,USA,8.6,11.2,,,prop,['nose'],1,L1P,high,straight,False,False,False,False,False,False,fuselage,1,,
C212,C-212 Aviocar,X,C212.jpg,AC0,483,True,1974,2012,,CASA,SPAIN,16.2,20.3,,,prop,['wings'],2,L2T,high,straight,False,False,False,False,False,False,fuselage,1,,
C25A,525A Citation CJ2,C,Cessna_525A_Citation-CJ2_janes11.png,AC7,300,True,2000,,,CESSNA,USA,14.53,15.19,,,jet,['hips'],2,L2J,low,straight,False,False,False,False,False,False,T-tail,1,,
C25B,525B Citation CJ3,C,citation-cj3.jpeg,AC7,500,True,2004,,,CESSNA,USA,15.6,16.26,,,jet,['hips'],2,L2J,low,straight,False,False,False,False,False,False,T-tail,1,,
C25C,525C Citation CJ4,C,Cessna_525C_Citation-CJ4_janes11.png,AC7,400,True,2006,,,CESSNA,USA,16.26,15.37,,,jet,['hips'],2,L2J,low,swept,False,False,False,False,False,False,T-tail,1,,
C27J,"G-222, C-27J Spartan",M,C27j_Spartan.jpg,AC0,117,True,2006,,,ALENIA,ITALY,22.7,28.7,,,prop,['wings'],2,L2T,high,straight,False,False,False,False,False,False,fuselage,1,,
C295,C-295 Persuader,M,Sairbusc295.jpg,AC0,225,True,1997,,,CASA,CANADA,24.46,25.81,,,prop,['wings'],2,L2T,high,straight,False,False,False,False,False,False,fuselage,1,,
C310,"310, U-3A Blue Canoe",X,Cessna_L-27A.png,AC0,5449,True,1954,1980,,CESSNA,USA,8.23,10.9,,,prop,['wings'],2,L2P,low,straight,True,False,False,False,False,False,fuselage,1,,
C320,320 Skyknight,C,cessna_310.jpg,AC2,422,True,1961,1969,,CESSNA,USA,9.74,11.25,,,prop,['wings'],2,L2P,low,straight,True,False,False,False,False,False,fuselage,1,,
C320F,320F Skyknight,C,Cessna_320F_Executive_Skyknight.png,AC2,155,True,1961,1969,,CESSNA,USA,8.99,11.25,,,prop,['wings'],2,L2P,low,straight,True,False,False,False,False,False,fuselage,1,,
C337,"337 Super Skymaster, O-2",X,O-2_Skymaster.png,AC7,2993,True,1963,1982,,CESSNA,USA,9.07,11.63,,,prop,"['nose', 'tail']",2,L2P,high,straight,False,False,False,False,False,True,fuselage,2,,
C340,340,C,C340A-top.jpg,AC2,1351,True,1972,1984,,CESSNA,USA,10.5,11.6,,,prop,['wings'],2,L2P,low,straight,True,False,False,False,False,False,fuselage,1,,
C402,401 & 402 Businessliner,C,C402_3D.jpg,AC2,21,True,1967,1985,,CESSNA,USA,11.1,13.5,,,prop,['wings'],2,L2P,low,straight,False,False,False,False,False,False,fuselage,1,,
C404,404 Titan,C,cessna_404.png,AC2,396,True,1976,1982,,CESSNA,USA,12.04,14.12,,,prop,['wings'],2,L2P,low,straight,False,False,False,False,False,False,fuselage,1,,
C414,414 Chancellor,C,Cessna-421.png,AC2,516,True,1968,1985,,CESSNA,USA,10.29,12.17,,,prop,['wings'],2,L2P,low,straight,True,False,False,False,False,False,fuselage,1,,
C414A,414A Chancellor,C,Cessna_Model_414A_Chancellor_janes80.png,AC2,554,True,1968,1985,,CESSNA,USA,11.09,13.45,,,prop,['wings'],2,L2P,low,straight,False,False,False,False,False,False,fuselage,1,,
C42,C42,C,C42_3D.jpg,AC0,1200,True,,,,COMCO IKARUS,GERMANY,6.25,9.45,,,prop,['nose'],1,L1P,high,straight,False,False,False,False,False,False,fuselage,1,,
C421,421C Golden Eagle,C,C421_3D.jpg,AC2,859,True,1967,1985,,CESSNA,USA,11.09,12.53,,,prop,['wings'],2,L2P,low,straight,False,False,False,False,False,False,fuselage,1,,
C421B,421B Golden Eagle,C,Cessna-421.jpg,AC2,1057,True,1967,1985,,CESSNA,USA,11,12.76,,,prop,['wings'],2,L2P,low,straight,True,False,False,False,False,False,fuselage,1,,
C425,425 Corsair,C,C425_Corsair.png,AC2,236,True,1980,1986,,CESSNA,USA,10.93,13.45,,,prop,['wings'],2,L2T,low,straight,False,False,False,False,False,False,fuselage,1,,
C441,441 Conquest 2,C,C441_3D.jpg,AC2,362,True,1977,1986,,CESSNA,USA,11.89,15.04,,,prop,['wings'],2,L2T,low,straight,False,False,False,False,False,False,fuselage,1,,
C46,C-46 Commando,M,C-46A.jpeg,AC2,3181,True,1941,1945,,CURTIS,USA,23.27,32.92,,,prop,['wings'],2,L2P,low,straight,False,False,False,False,False,False,fuselage,1,,
C5,C-5 Galaxy,M,C5.jpeg,AC2,131,True,1968,1989,,LOCKHEED,USA,75.3,67.9,,,jet,['wings'],4,L4J,high,swept,False,False,False,False,False,False,T-tail,1,,
C500,500 Citation I,C,Cessna_C500.jpeg,AC2,689,True,1971,1985,,CESSNA,USA,13.26,13.33,,,jet,['hips'],2,L2J,low,straight,False,False,False,False,False,False,fuselage,1,,
C510,510 Citation Mustang,C,Cessna_510_Citation_Mustang_janes07.png,AC7,479,True,2006,2017,,CESSNA,USA,12.37,13.16,,,jet,['hips'],2,L2J,low,swept,False,False,False,False,False,False,T-tail,1,,
C525,525 Citation CJ1,C,cessna_525_citationjet.jpg,AC0,250,True,2005,,,CESSNA,USA,12.98,13.78,,,jet,['hips'],2,L2J,low,straight,False,False,False,False,False,False,T-tail,1,,
C551,551 Citation II SP,C,cessna_citation_ii.jpg,AC2,1184,True,1978,2006,,CESSNA,USA,14.39,15.76,,,jet,['hips'],2,L2J,low,straight,False,False,False,False,False,False,fuselage,1,,
C560,560 Citation 5 Ultra,C,C560.jpg,AC2,774,True,1989,2011,,CESSNA,USA,14.9,15.9,,,jet,['hips'],2,L2J,low,straight,False,False,False,False,False,False,fuselage,1,,
C56X,560X Citation Excel,C,cessna_citation_c560_excel.jpg,AC2,1000,True,1996,,,CESSNA,USA,16,17.17,,,jet,['hips'],2,L2J,low,straight,False,False,False,False,False,False,fuselage,1,,
C650,650 Citation 3/6/7,C,C650_3D.jpg,AC7,360,True,1983,2000,,CESSNA,USA,16.9,16.31,,,jet,['hips'],2,L2J,low,swept,False,False,False,False,False,False,T-tail,1,,
C680,680 Citation Sovereign,C,Cessna_680_Citation_Sovereign_janes11.png,AC2,349,True,2004,2021,,CESSNA,USA,19.35,19.25,,,jet,['hips'],2,L2J,low,straight,False,False,False,False,False,False,cruciform,1,,
C68A,680A Citation Latitude,C,citation_latitude.jpg,AC2,359,True,2014,,,CESSNA,USA,18.97,22.05,,,jet,['hips'],2,L2J,low,straight,False,False,False,False,False,False,cruciform,1,,
C68B,680B Citation Longitude,C,21151-mid.jpg,AC7,100,True,2019,,,CESSNA,USA,22.3,21.01,,,jet,['hips'],2,L2J,low,swept,False,True,False,False,False,False,T-tail,1,,
C750,750 Citation X,C,C750.jpg,AC7,339,True,1996,2012,,CESSNA,USA,22.04,19.39,,,jet,['hips'],2,L2J,low,swept,False,False,False,False,False,False,T-tail,1,,
C75X,750 Citation X+,C,Cessna_750_Citation_TEN_janes11.png,AC7,29,True,2014,2018,,CESSNA,USA,22.43,21.08,,,jet,['hips'],2,L2J,low,swept,False,True,False,False,False,False,T-tail,1,,
C82,C-82 Packet,M,C82.png,AC0,223,True,1944,1948,,FAIRCHILD,USA,23.5,32.45,,,prop,['wings'],2,L2P,high,straight,False,False,False,False,False,True,fuselage,2,,
C919,C919,C,C919.png,AC0,10,True,2022,,,COMAC,CHINA,38.6,35.4,,,jet,['wings'],2,L2J,low,swept,False,True,False,False,False,False,fuselage,1,,
C97,C-97 Stratofreighter,M,Boeing_C-97_Stratofreighter.png,AC0,77,True,1947,1952,1978,BOEING,USA,33.7,43.1,,,prop,['wings'],4,L4P,low,straight,False,False,False,False,False,False,fuselage,1,,
CA25,CA-25 Winjeel,C,CA-25.jpg,AC0,64,True,1955,,1995,CAC,AUSTRALIA,8.547,11.773,,,prop,['nose'],1,L1P,low,straight,False,False,False,False,False,False,fuselage,1,,
CAT,A-10 Catalina,M,Consolidated_PBY-5A_Catalina.png,AC2,3308,True,1936,1945,,CONSOLIDATED,USA,19.48,32,,,prop,['wings'],2,L2P,high,straight,False,False,False,True,False,False,cruciform,1,,
CF10,CF-100 Canuck,M,Avro_Canada_CF-100_Canuck.jpg,AC0,692,True,1952,,1981,AVRO,CANADA,16.51,16.3,,,jet,['wings'],2,L2J,low,straight,True,False,False,False,False,False,cruciform,1,,
CH70,CH-701 STOL,C,CH701.jpg,AC2,915,True,1986,,,ZENITH,CANADA,6.38,8.23,,,prop,['nose'],1,L1P,high,straight,False,False,False,False,False,False,fuselage,1,,
CH7B,7GCBC Citabria,C,CH7B_janes11.png,AC2,5238,True,1964,,,AMERICAN CHAMPION,USA,6.74,10.49,,,prop,['nose'],1,L1P,high,straight,False,False,False,False,False,False,fuselage,1,,
CIM10,CIM-10 Bomarc,M,Bomarc.jpg,AC0,100,True,1959,1972,,BOEING,USA,13.7,5.5,,,jet,['fuselage'],2,L2J,high,delta,False,False,False,False,False,False,fuselage,1,,
CJ6,CJ-6,X,R.png,AC0,2000,True,1960,,,NANCHANG,CHINA,8.4,10.7,,,prop,['nose'],1,L1P,low,straight,False,False,False,False,False,False,fuselage,1,,
CKUO,F-CK-1 Ching-Kuo,M,CKUO_color.png,AC1,137,True,,,,AIDC,TAIWAN,14.21,9.46,,,jet,['fuselage'],2,L2J,mid,straight,False,False,False,False,False,False,fuselage,1,,
CL2P,CL-215 Scooper,C,CL2P.png,AC2,125,True,1969,1990,,CANADAIR,CANADA,19.82,28.6,,,prop,['wings'],2,L2P,high,straight,False,False,False,False,False,False,cruciform,1,,
CL2T,CL-415 SuperScooper,C,CL2T.jpg,AC2,95,True,1994,,,CANADAIR,CANADA,19.82,28.63,,,prop,['wings'],2,A2T,high,straight,False,True,False,True,False,False,cruciform,1,,
CL30,Challenger 300,C,CL30_3D.jpg,AC7,450,True,2004,,,BOMBARDIER,CANADA,20.92,19.46,,,jet,['hips'],2,L2J,low,swept,False,True,False,False,False,False,T-tail,1,,
CL35,Challenger 350,C,Challenger350_specs.png,AC7,350,True,2004,,,BOMBARDIER,CANADA,20.92,21,,,jet,['hips'],2,L2J,low,swept,False,True,False,False,False,False,T-tail,1,,
CL41,CT-114/CL-41 Tutor,M,CT-114.jpeg,AC0,212,True,1960,,2000,CANADAIR,CANADA,9.75,11.07,,,jet,['fuselage'],1,L1J,low,straight,False,False,False,False,False,False,T-tail,1,,
CL60,"Challenger 600, CC-144",C,CL60.jpg,AC2,84,True,1980,,,BOMBARDIER,CANADA,20.85,18.85,,,jet,['hips'],2,L2J,low,swept,False,True,False,False,False,False,T-tail,1,Same as CL65,
CL65,"Challenger 650, CL-601, CL-604",C,Challenger650_specs.png,AC7,982,True,1982,,,BOMBARDIER,CANADA,20.85,19.61,,,jet,['hips'],2,L2J,low,swept,False,True,False,False,False,False,T-tail,1,,
CN35,CN-235,X,CN35_3D.jpg,AC0,354,True,,,,CASA,SPAIN,21.4,25.81,,,prop,['wings'],2,L2T,high,straight,False,False,False,False,False,False,fuselage,1,,
CONC,Concorde,C,CONC_3D.jpg,AC0,20,True,1976,1979,2003,AEROSPATIALE,UK,61.66,25.6,,,jet,['wings'],4,L4J,low,delta,False,False,False,False,False,False,none,1,,
CONI,"C-69, L-049, L-649",M,C-69.png,AC0,132,True,1943,1945,1945,LOCKHEED,USA,29.01,37.49,,,prop,['wings'],4,L4P,low,straight,False,False,False,False,False,False,fuselage,3,,
CONI2,"EC-121, RC-121, WV-2",M,Lockheed_EC-121_Warning_Star_b.png,AC1,232,True,1954,1958,1982,LOCKHEED,USA,35.41,38.46,,,prop,['wings'],4,L4P,low,straight,True,False,False,False,True,False,fuselage,3,,
CONI3,"L-1049, C-121",M,Lockheed_L-1049G_Super_Constellation_c.jpg,AC1,332,True,1951,1958,1982,LOCKHEED,USA,35.41,38.46,,,prop,['wings'],4,L4P,low,straight,True,False,False,False,False,False,fuselage,3,,
CORS,F4U Corsair,M,F4U.jpeg,AC0,12571,True,1942,1953,1979,VOUGHT,USA,10.26,12.5,,,prop,['nose'],1,L1P,low,straight,False,False,False,False,False,False,fuselage,1,,
COUR,Courier,X,Helio_U-10A.png,AC2,500,True,1954,,,HELIO,USA,9.35,11.89,,,prop,['nose'],1,L1P,high,straight,False,False,False,False,False,False,fuselage,1,,
COURF,Courier Floatplane,X,helio_courier_floatplane_gimp.png,AC2,500,True,1954,,,HELIO,USA,9.35,11.89,,,prop,['nose'],1,L1P,high,straight,False,False,False,True,False,False,fuselage,1,,
COZY,Cozy MK IV,C,3view11.jpg,AC7,350,True,1991,2015,,SPRUCE,USA,5.15,8.565,,,prop,['tail'],1,L1P,mid,swept,False,True,True,False,False,False,none,0,,
CP20,CAP-20,C,,,12,True,,,,MUDRY,FRANCE,6.46,7.57,,,prop,['nose'],1,L1P,low,straight,False,False,False,False,False,False,fuselage,1,,
CP23,CAP-230/231/232,C,mudry_cap_230.jpg,AC2,250,True,,,,MUDRY,FRANCE,6.75,8.1,,,prop,['nose'],1,L1P,low,straight,False,False,False,False,False,False,fuselage,1,,
CP70,C.P.70 Beryl,C,CP-70.png,AC0,125,True,,,,PIEL,FRANCE,6.45,8.25,,,prop,['nose'],1,L1P,low,straight,False,False,False,False,False,False,fuselage,1,,
CP75,C.P.750 Beryl,C,CP75_Beryl.png,AC0,125,True,,,,PIEL,FRANCE,6.9,8.04,,,prop,['nose'],1,L1P,low,straight,False,False,False,False,False,False,fuselage,1,,
CP80,C.P.80 Zephir,C,CP80.jpg,AC0,250,True,,,,PIEL,FRANCE,5.3,6,,,prop,['nose'],1,L1P,low,straight,False,False,False,False,False,False,fuselage,1,,
CRER,S-7 Courier,C,Rans_S-7S_Courier_2015.png,AC2,600,True,1985,,,RANS,USA,7.09,8.92,,,prop,['nose'],1,L1P,high,straight,False,False,False,False,False,False,fuselage,1,,
CRES,Cresco,C,pac-cresco.png,AC0,40,True,1979,,,PAC,NEW ZEALAND,11.07,12.81,,,prop,['nose'],1,L1T,low,straight,False,False,False,False,False,False,fuselage,1,,
CRJ2,"Regional Jet CRJ-100, CRJ-200",C,CRJ-200.png,AC7,1021,True,1992,2006,,BOMBARDIER,CANADA,26.77,21.18,,,jet,['hips'],2,L2J,low,swept,False,True,False,False,False,False,T-tail,1,,
CRJ7,Regional Jet CRJ-700,C,CRJ7_3D.jpg,AC7,346,True,2001,2020,,BOMBARDIER,CANADA,32.51,23.24,,,jet,['hips'],2,L2J,low,swept,False,True,False,False,False,False,T-tail,1,,
CRJ9,Regional Jet CRJ-900,C,CRJ9.jpg,AC7,487,True,2001,2020,,BOMBARDIER,CANADA,36.2,24.84,,,jet,['hips'],2,L2J,low,swept,False,True,False,False,False,False,T-tail,1,,
CRJX,Regional Jet CRJ-1000,C,bombardier-crj1000.png,AC7,63,True,2007,2020,,BOMBARDIER,CANADA,39.1,26.2,,,jet,['hips'],2,L2J,low,swept,False,True,False,False,False,False,T-tail,1,,
CRUZ,PS-28 Cruiser,C,CRUZ.png,AC0,400,True,2006,,,CZAW,CZECH REPUBLIC,6.62,8.6,,,prop,['nose'],1,L1P,low,straight,False,False,False,False,False,False,fuselage,1,,
CS50,"A220-500, BD-500 CSeries CS500",C,CS50_s20w.jpg,AC0,20,True,2022,,,AIRBUS,FRANCE,41.2,35.1,,,jet,['wings'],2,L2J,low,swept,False,True,False,False,False,False,fuselage,1,,
CVLP,"CV-240, C-131A Samaritan, T-29A",X,Convair_240.png,AC0,1637,True,1950,,1990,CONVAIR,USA,22.76,27.97,,,prop,['wings'],2,L2P,low,straight,False,False,False,False,False,False,fuselage,1,,
CVLT,"CV-580, C-131B Samaritan, T-29B",X,CV-580.jpg,AC0,1337,True,1950,,1990,CONVAIR,USA,24.14,32.11,,,prop,['wings'],2,L2T,low,straight,False,False,False,False,False,False,fuselage,1,,
D150,Jodel D.150 Mascaret,C,D150.jpg,AC2,161,True,,,,SAN,FRANCE,6.3,8.15,,,prop,['nose'],1,L1P,low,straight,False,False,False,False,False,False,fuselage,1,,
D21,D-21,M,D21.png,AC1,38,True,1969,,1971,LOCKHEED,USA,13.06,5.7976,,,jet,['fuselage'],1,L1J,mid,delta,False,False,False,False,False,False,none,1,,
D228,228 prop,C,Dornier_228.png,AC0,370,True,1982,,,DORNIER,GERMANY,16.56,16.97,,,prop,['wings'],2,L2T,high,straight,False,False,False,False,False,False,fuselage,1,,
D328,328 prop,X,Dornier_328_janes91.png,AC0,217,True,1993,2000,,DORNIER,GERMANY,21.23,20.98,,,prop,['wings'],2,L2T,high,straight,False,False,False,False,False,False,T-tail,1,,
DA40,DA40 Diamond Star,X,DA40.png,AC0,2200,True,1997,,,DIAMOND,CANADA,8.1,11.9,,,prop,['nose'],1,L1P,low,straight,False,False,False,False,False,False,T-tail,1,,
DA42,DA42 Twin Star,X,DA42_3D.jpg,AC0,600,True,2004,,,DIAMOND,CANADA,8.56,13.42,,,prop,['wings'],2,L2P,low,straight,False,True,False,False,False,False,T-tail,1,,
DA50,DA50 Super Star,X,DA-50.jpg,AC0,100,True,2007,,,DIAMOND,CANADA,9.23,13.41,,,prop,['nose'],1,L1P,low,straight,False,True,False,False,False,False,T-tail,1,,
