ICAO,name,CMX,bpt_file,lw_rule,num_built,active,year_introduced,year_last_produced,year_retired,manufacturer,country,length,wingspan,wingspan_swept_folded,lw_rule2,engine_type,engine_position,num_engines,description,wing_position,wing_shape,wingtip_tanks,winglets,canards,amphibious,awacs,twin_boom,tail_position,num_tail_fins,Notes,bpt_file2
AT72,ATR-72-201,C,AT72.jpg,AC0,1000,True,1989,,,ATR,FRANCE,27.166,27.05,,,prop,['wings'],2,L2T,high,straight,False,False,False,False,False,False,T-tail,1,,
AT8F,AT-802 Fire Boss,C,AT8F.png,AC0,500,True,1990,,,AIR TRACTOR,USA,10.88,18.06,,,prop,['nose'],1,L1T,low,straight,False,False,False,True,False,False,fuselage,1,,
AT8T,AT-802,C,AT-802U.jpg,AC2,500,True,1990,,,AIR TRACTOR,USA,10.88,18.06,,,prop,['nose'],1,L1T,low,straight,False,False,False,False,False,False,fuselage,1,,
ATLA,1150 Atlantic,M,br1150.png,AC0,115,True,1965,1987,,BREGUET,FRANCE,31.75,37.36,,,prop,['wings'],2,L2T,low,straight,False,False,False,False,False,False,fuselage,1,,
ATP,ATP,C,ATP.png,AC2,65,True,,,,BRITISH AEROSPACE,UK,26,30.63,,,prop,['wings'],2,L2T,low,straight,False,False,False,False,False,False,fuselage,1,,
AV8A,AV-8A Harrier,M,BAe_Harrier_janes82.png,AC1,278,True,1967,1980,2006,HAWKER,UK,13.89,7.7,,,jet,['fuselage'],1,L1J,high,swept,False,False,False,False,False,False,fuselage,1,,
AW6A,AW.650 & AW.660 Argosy,M,argosy_3v.jpg,AC7,74,True,1961,,1991,ARMSTRONG WHITWORTH,UK,26.44,35.05,,,prop,['wings'],4,L4T,high,straight,False,False,False,False,False,True,fuselage,2,,
B1,B-1 Lancer,M,B1_3D.jpg,AC7,104,True,1973,1988,,ROCKWELL,USA,44.81,41.67,23.84,AC9,jet,['fuselage'],4,L4J,low,swing,False,False,False,False,False,False,cruciform,1,,
B103,Be-103 Bekas,C,be-103.png,AC2,450,True,2003,,,BERIEV,RUSSIA,10.65,12.72,,,prop,['hips'],2,L2P,low,straight,False,False,False,False,False,False,cruciform,1,,
B17,B-17,M,b17_flying_superfortress.jpg,AC0,12731,True,1938,1945,1968,BOEING,USA,22.66,31.62,,,prop,['wings'],4,L4P,low,straight,False,False,False,False,False,False,fuselage,1,,
B18,B-18 Bolo,M,B-18.jpeg,AC0,350,True,1936,1939,,DOUGLAS,USA,17.63,27.28,,,prop,['wings'],2,L2P,mid,straight,False,False,False,False,False,False,fuselage,1,,
B190,"1900, C-12J Huron",X,BE-1900D.png,AC0,700,True,1984,2002,,BEECH,USA,17.6,17.7,,,prop,['wings'],2,L2T,low,straight,False,True,True,False,False,False,T-tail,1,,
B2,B-2 Spirit,M,B-2.jpg,AC7,21,True,1987,2000,,NORTHROP,USA,21.03,52.43,,,jet,['fuselage'],4,L4J,mid,delta,False,False,False,False,False,False,none,0,,
B23,B-23 Dragon,M,B-23.png,AC2,38,True,1939,1940,,DOUGLAS,USA,17.8,28.04,,,prop,['wings'],2,L2P,low,straight,False,False,False,False,False,False,fuselage,1,,
B24,B-24 Liberator,M,Consolidated_B-24_Liberator.png,AC0,18188,True,1941,1945,1968,CONSOLIDATED,USA,20.47,34,,,prop,['wings'],4,L4P,mid,straight,False,False,False,False,False,False,fuselage,2,,
B25,B-25 Mitchell,M,North_American_B-25J_Mitchell.png,AC0,9816,True,1941,,1979,NORTH AMERICAN,USA,16.13,20.6,,,prop,['wings'],2,L2P,mid,straight,False,False,False,False,False,False,fuselage,2,,
B26,B-26 Marauder,M,B26_Marauder.png,AC2,5288,True,1941,1945,,MARTIN,USA,17.75,21.64,,,prop,['wings'],2,L2P,high,straight,False,False,False,False,False,False,fuselage,1,,
B29,"B-29, B-50 Superfortress",M,Boeing_B-29_Superfortress.png,AC0,4340,True,1943,1946,1960,BOEING,USA,30.18,43.05,,,prop,['wings'],4,L4P,mid,straight,False,False,False,False,False,False,fuselage,1,,
B350,350 Super King Air,C,B350.jpg,AC2,711,True,1972,,,BEECH,USA,14.2,17.7,,,prop,['wings'],2,L2T,low,straight,False,True,False,False,False,False,T-tail,1,,
B350I,350i Super King Air,C,Beech_350I.jpg,AC2,2722,True,1972,,,BEECH,USA,14.2,17.7,,,prop,['wings'],2,L2T,low,straight,False,True,False,False,False,False,T-tail,1,,
B36,B-36 Peacemaker,M,B36_convair.png,AC0,385,True,1948,1954,1959,CONVAIR,USA,49.4,70.1,,,prop,['wings'],6,L6P,mid,straight,False,False,False,False,False,False,fuselage,1,,
B37M,737 MAX 7,C,B37M_WM.jpg,AC7,100,True,2021,,,BOEING,USA,35.56,35.92,,,jet,['wings'],2,L2J,low,swept,False,True,False,False,False,False,fuselage,1,,
B38M,737 MAX 8,C,B38M_3D.jpg,AC7,400,True,2016,,,BOEING,USA,39.52,35.92,,,jet,['wings'],2,L2J,low,swept,False,True,False,False,False,False,fuselage,1,,
B39M,737 MAX 9,C,B39M_3D.jpg,AC7,700,True,2016,,,BOEING,USA,42.11,35.92,,,jet,['wings'],2,L2J,low,swept,False,True,False,False,False,False,fuselage,1,,
B3XM,737 MAX 10,C,737-MAX-10.png,AC7,100,True,2021,,,BOEING,USA,43.79,35.92,,,jet,['wings'],2,L2J,low,swept,False,True,False,False,False,False,fuselage,1,,
B45,B-45 Tornado,M,B45_A1.jpg,AC0,143,True,1948,,1959,NORTH AMERICAN,USA,22.96,27.13,,,jet,['wings'],2,L2J,mid,straight,False,False,False,False,False,False,fuselage,1,,
